Epoch: 0 | mean loss: 92.54898 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 1 | mean loss: 74.25291 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 2 | mean loss: -4.57574 | total acc: 1.00000 | total recall: 0.00080 | total f1 scroe: 0.00160
Epoch: 3 | mean loss: -49.32458 | total acc: 1.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 4 | mean loss: -76.49364 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 5 | mean loss: -117.72604 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 6 | mean loss: -151.07184 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 7 | mean loss: -146.70326 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 8 | mean loss: -208.82747 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 9 | mean loss: -214.93745 | total acc: 0.05556 | total recall: 0.00080 | total f1 scroe: 0.00158
Epoch: 10 | mean loss: -274.80325 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 11 | mean loss: -303.73444 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 12 | mean loss: -339.84528 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 13 | mean loss: -372.85690 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 14 | mean loss: -406.33246 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 15 | mean loss: -438.01880 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 16 | mean loss: -470.87375 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 17 | mean loss: -503.71164 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 18 | mean loss: -532.50592 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 19 | mean loss: -559.23834 | total acc: 0.06667 | total recall: 0.00080 | total f1 scroe: 0.00158
Epoch: 20 | mean loss: -602.81458 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 21 | mean loss: -625.57562 | total acc: 0.06667 | total recall: 0.00080 | total f1 scroe: 0.00158
