Epoch: 0 | mean loss: 34.24083 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 1 | mean loss: 71.53641 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 2 | mean loss: -33.55818 | total acc: 1.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 3 | mean loss: -53.32538 | total acc: 1.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 4 | mean loss: -96.77586 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 5 | mean loss: -112.32604 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 6 | mean loss: -154.34380 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 7 | mean loss: -185.14095 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 8 | mean loss: -171.72795 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 9 | mean loss: -242.52353 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 10 | mean loss: -272.79837 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 11 | mean loss: -311.58865 | total acc: 0.20000 | total recall: 0.00325 | total f1 scroe: 0.00639
Epoch: 12 | mean loss: -343.90805 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 13 | mean loss: -377.14398 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 14 | mean loss: -405.37061 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 15 | mean loss: -439.04044 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 16 | mean loss: -471.09793 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 17 | mean loss: -500.39645 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 18 | mean loss: -532.32123 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 19 | mean loss: -561.11609 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 20 | mean loss: -600.40210 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 21 | mean loss: -618.70868 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 22 | mean loss: -650.91388 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 23 | mean loss: -692.26117 | total acc: 0.33333 | total recall: 0.00323 | total f1 scroe: 0.00639
Epoch: 24 | mean loss: -717.50305 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 25 | mean loss: -754.40411 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 26 | mean loss: -787.41089 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 27 | mean loss: -817.69257 | total acc: 0.07143 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 28 | mean loss: -857.22943 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 29 | mean loss: -848.95856 | total acc: 0.33333 | total recall: 0.00647 | total f1 scroe: 0.01270
Epoch: 30 | mean loss: -912.38623 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 31 | mean loss: -935.63025 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 32 | mean loss: -972.51129 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 33 | mean loss: -1008.65277 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 34 | mean loss: -1036.90649 | total acc: 0.13333 | total recall: 0.00656 | total f1 scroe: 0.01250
Epoch: 35 | mean loss: -1079.56531 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 36 | mean loss: -1106.68005 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 37 | mean loss: -1138.82446 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 38 | mean loss: -1155.47229 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 39 | mean loss: -1200.07202 | total acc: 0.07692 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 40 | mean loss: -1216.14673 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 41 | mean loss: -1262.78052 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 42 | mean loss: -1304.05029 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 43 | mean loss: -1287.09717 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 44 | mean loss: -1356.33362 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
